(storm) D:\Zhiyu\GNN-UDS\surrogate>python maxred.py --env chaohu --act rand --pop_size 64 --processes 8 --rain_num 100 --rain_suffix chaohu_testall --result_dir maxred_all100 --termination n_gen 100
MaxRed configs: Namespace(act='rand', crossover=[1.0, 3.0], directed=False, env='chaohu', length=0, mutation=[1.0, 3.0], order=1, pop_size=64, processes=8, rain_dir='./envs/config/', rain_num=100, rain_suffix='chaohu_testall', result_dir='./results/chaohu/maxred_all100', sampling=0.4, setting_duration=10, termination=['n_gen', 100])
Runoff time: 46.26052403450012 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0
 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0
 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]
Function value: [5868.94658603]
Runoff time: 45.4764130115509 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |       64 |  3.055471E+04 |  1.466680E+04
     2 |      128 |  2.552294E+04 |  1.466680E+04
     3 |      192 |  2.295416E+04 |  1.411722E+04
     4 |      256 |  2.041350E+04 |  1.370510E+04
     5 |      320 |  1.814675E+04 |  1.339836E+04
     6 |      384 |  1.735936E+04 |  1.339836E+04
     7 |      448 |  1.635478E+04 |  1.339836E+04
     8 |      512 |  1.538671E+04 |  1.285979E+04
     9 |      576 |  1.446592E+04 |  1.210541E+04
    10 |      640 |  1.375884E+04 |  1.210541E+04
    11 |      704 |  1.332737E+04 |  1.210541E+04
    12 |      768 |  1.302698E+04 |  1.210541E+04
    13 |      832 |  1.281797E+04 |  1.202759E+04
    14 |      896 |  1.258821E+04 |  1.202759E+04
    15 |      960 |  1.239694E+04 |  1.189049E+04
    16 |     1024 |  1.229607E+04 |  1.189049E+04
    17 |     1088 |  1.219227E+04 |  1.177216E+04
    18 |     1152 |  1.210204E+04 |  1.177216E+04
    19 |     1216 |  1.204233E+04 |  1.164860E+04
    20 |     1280 |  1.198829E+04 |  1.155849E+04
    21 |     1344 |  1.190321E+04 |  1.155849E+04
    22 |     1408 |  1.183148E+04 |  1.155849E+04
    23 |     1472 |  1.175721E+04 |  1.152682E+04
    24 |     1536 |  1.168915E+04 |  1.142148E+04
    25 |     1600 |  1.164804E+04 |  1.142148E+04
    26 |     1664 |  1.161189E+04 |  1.142148E+04
    27 |     1728 |  1.156278E+04 |  1.142148E+04
    28 |     1792 |  1.153207E+04 |  1.142148E+04
    29 |     1856 |  1.149319E+04 |  1.137965E+04
    30 |     1920 |  1.147913E+04 |  1.132475E+04
    31 |     1984 |  1.146283E+04 |  1.132475E+04
    32 |     2048 |  1.144463E+04 |  1.132475E+04
    33 |     2112 |  1.142553E+04 |  1.132475E+04
    34 |     2176 |  1.139761E+04 |  1.125157E+04
    35 |     2240 |  1.136944E+04 |  1.124525E+04
    36 |     2304 |  1.134944E+04 |  1.124525E+04
    37 |     2368 |  1.132352E+04 |  1.115175E+04
    38 |     2432 |  1.130483E+04 |  1.115175E+04
    39 |     2496 |  1.125846E+04 |  1.113428E+04
    40 |     2560 |  1.120954E+04 |  1.099659E+04
    41 |     2624 |  1.117029E+04 |  1.098566E+04
    42 |     2688 |  1.113163E+04 |  1.098540E+04
    43 |     2752 |  1.110090E+04 |  1.097854E+04
    44 |     2816 |  1.105777E+04 |  1.096694E+04
    45 |     2880 |  1.101276E+04 |  1.096659E+04
    46 |     2944 |  1.099251E+04 |  1.090814E+04
    47 |     3008 |  1.096904E+04 |  1.090786E+04
    48 |     3072 |  1.094854E+04 |  1.089316E+04
    49 |     3136 |  1.091768E+04 |  1.088210E+04
    50 |     3200 |  1.089816E+04 |  1.086788E+04
    51 |     3264 |  1.088934E+04 |  1.086788E+04
    52 |     3328 |  1.088244E+04 |  1.085916E+04
    53 |     3392 |  1.087598E+04 |  1.084662E+04
    54 |     3456 |  1.086968E+04 |  1.084444E+04
    55 |     3520 |  1.086483E+04 |  1.084429E+04
    56 |     3584 |  1.086083E+04 |  1.083278E+04
    57 |     3648 |  1.085577E+04 |  1.083252E+04
    58 |     3712 |  1.085167E+04 |  1.082382E+04
    59 |     3776 |  1.084863E+04 |  1.082129E+04
    60 |     3840 |  1.084633E+04 |  1.082097E+04
    61 |     3904 |  1.084214E+04 |  1.082097E+04
    62 |     3968 |  1.083907E+04 |  1.082097E+04
    63 |     4032 |  1.083693E+04 |  1.082097E+04
    64 |     4096 |  1.083508E+04 |  1.082097E+04
    65 |     4160 |  1.083380E+04 |  1.082097E+04
    66 |     4224 |  1.083312E+04 |  1.082097E+04
    67 |     4288 |  1.083258E+04 |  1.082097E+04
    68 |     4352 |  1.083247E+04 |  1.082097E+04
    69 |     4416 |  1.083242E+04 |  1.082097E+04
    70 |     4480 |  1.083212E+04 |  1.082097E+04
    71 |     4544 |  1.083174E+04 |  1.082097E+04
    72 |     4608 |  1.083101E+04 |  1.081021E+04
    73 |     4672 |  1.082992E+04 |  1.081021E+04
    74 |     4736 |  1.082784E+04 |  1.081021E+04
    75 |     4800 |  1.082566E+04 |  1.081021E+04
    76 |     4864 |  1.082431E+04 |  1.081021E+04
    77 |     4928 |  1.082223E+04 |  1.080279E+04
    78 |     4992 |  1.081985E+04 |  1.079850E+04
    79 |     5056 |  1.081683E+04 |  1.079850E+04
    80 |     5120 |  1.081483E+04 |  1.079850E+04
    81 |     5184 |  1.081350E+04 |  1.079850E+04
    82 |     5248 |  1.081163E+04 |  1.079850E+04
    83 |     5312 |  1.081064E+04 |  1.079850E+04
    84 |     5376 |  1.081020E+04 |  1.079850E+04
    85 |     5440 |  1.080999E+04 |  1.079850E+04
    86 |     5504 |  1.080986E+04 |  1.079850E+04
    87 |     5568 |  1.080961E+04 |  1.079850E+04
    88 |     5632 |  1.080927E+04 |  1.079714E+04
    89 |     5696 |  1.080813E+04 |  1.079017E+04
    90 |     5760 |  1.080645E+04 |  1.077939E+04
    91 |     5824 |  1.080377E+04 |  1.077372E+04
    92 |     5888 |  1.079989E+04 |  1.077372E+04
    93 |     5952 |  1.079403E+04 |  1.076210E+04
    94 |     6016 |  1.078309E+04 |  1.064482E+04
    95 |     6080 |  1.076920E+04 |  1.064482E+04
    96 |     6144 |  1.072868E+04 |  1.061471E+04
    97 |     6208 |  1.068888E+04 |  1.061471E+04
    98 |     6272 |  1.065897E+04 |  1.061471E+04
    99 |     6336 |  1.064723E+04 |  1.061471E+04
   100 |     6400 |  1.064214E+04 |  1.061471E+04
Best solution found: [1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1
 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 2 0 1 0 2 0 0 1 1 0 0 0 1 1 0
 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0
 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]
Function value: [10614.71023672]
Runoff time: 45.53891348838806 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |       64 |  5.624920E+04 |  2.494872E+04
     2 |      128 |  5.292285E+04 |  2.494872E+04
     3 |      192 |  5.036242E+04 |  2.494872E+04
     4 |      256 |  4.910741E+04 |  2.494872E+04
     5 |      320 |  4.837462E+04 |  2.494872E+04
     6 |      384 |  4.621456E+04 |  2.480724E+04
     7 |      448 |  4.558286E+04 |  2.480724E+04
     8 |      512 |  4.453005E+04 |  2.480724E+04
     9 |      576 |  4.404865E+04 |  2.480724E+04
    10 |      640 |  4.331567E+04 |  2.480724E+04
    11 |      704 |  4.242958E+04 |  2.480724E+04
    12 |      768 |  4.166827E+04 |  2.480724E+04
    13 |      832 |  4.158592E+04 |  2.480724E+04
    14 |      896 |  4.057161E+04 |  2.480724E+04
