,rr time,fl time,perf,objective
astlingen_01_25_2007_13,3.9775197505950928,37.54332524416398,1399.3454906327813,14.041271849263836
astlingen_02_04_2007_10,3.8653314113616943,29.90723273589176,4.601322198557105,-919.370639577329
astlingen_02_08_2007_07,3.1455349922180176,35.1651259216949,5805.815213931634,4718.342204646077
astlingen_02_10_2007_02,4.175070285797119,35.59046899684341,198.91079335061704,-1003.8204586820957
astlingen_02_21_2007_13,5.28712010383606,30.295126886326866,0.0,-1289.1780173087836
astlingen_02_24_2007_17,3.3052220344543457,28.386241004202102,0.0,-1060.3411323528417
astlingen_02_28_2007_12,3.8693923950195312,25.654141632219154,1155.8891135936228,-50.13602905921982
astlingen_03_19_2007_14,5.593864917755127,33.03530511229096,0.0,-1485.6774853505794
astlingen_04_04_2007_12,2.165534496307373,30.48174974322319,7112.713334062251,8652.612427327846
astlingen_04_05_2007_09,3.6560935974121094,29.628204972952005,149.45740510349276,-785.4393622507348
astlingen_04_10_2007_02,3.1234350204467773,28.391795511047047,0.0,-844.7350533426209
astlingen_04_27_2007_11,7.002390146255493,33.081424247105915,0.0,-1580.0366395183291
astlingen_04_29_2007_02,3.498175859451294,27.30754545579354,0.0,-968.8688812199902
astlingen_05_10_2007_22,3.863128900527954,28.459388914891488,115.64179131633352,-831.3459289965539
astlingen_05_22_2007_05,3.795689105987549,28.788488957014952,8066.0584495124895,7095.9522718905755
astlingen_06_12_2007_23,2.324754476547241,25.254833235740662,0.0,-553.2917961096317
astlingen_07_18_2007_12,1.7292523384094238,27.40329027511704,8810.434705708343,10192.785671727943
astlingen_07_23_2007_19,3.2862191200256348,28.53715936931563,847.7520381294064,-2.4690397365514087
astlingen_07_25_2007_01,2.3157083988189697,28.43859098089023,6804.428557743863,6659.46274674544
astlingen_07_27_2007_22,3.0059762001037598,26.774873317990984,0.0,-580.4132434876165
astlingen_07_31_2007_00,5.431549310684204,27.446044682610964,7325.33527244128,5570.656337485998
astlingen_08_15_2007_13,1.9212672710418701,27.07665134585181,409.7188021929029,-55.80111757802612
astlingen_08_22_2007_08,1.3523423671722412,27.68582976027711,0.0,-375.34104161888126
astlingen_08_22_2007_21,1.262908935546875,30.880073295699226,2822.736631787896,4495.358081303318
astlingen_08_30_2007_03,2.9086055755615234,28.383746367972968,0.0,-960.521034815024
astlingen_08_30_2007_21,2.8361780643463135,30.332669842070427,2596.3284725449016,2045.6564877778678
astlingen_09_26_2007_12,0.896186113357544,28.609551558623444,9164.986111097052,9217.674695362515
astlingen_11_12_2007_20,2.74288272857666,26.3490684106946,0.0,-763.3361233373262
astlingen_11_13_2007_14,1.1004984378814697,25.889567260231292,4073.6206591394966,4592.899839908397
astlingen_11_16_2007_03,2.517085313796997,25.721427643508243,623.4776330308619,15.61515625264974
astlingen_11_17_2007_20,3.5276458263397217,27.74753970497257,1129.2182402251824,61.377263559760195
astlingen_11_19_2007_15,3.571106433868408,27.84514639964655,0.0,-989.7563199888164
astlingen_12_11_2007_21,1.846583604812622,24.934697945912678,0.0,-436.1555805402761
astlingen_12_13_2007_10,3.053969621658325,26.225975976957308,0.0,-806.1351896210614
astlingen_12_17_2007_20,1.1567082405090332,30.06586613221602,747.7179529361144,885.5896429243932
astlingen_12_24_2007_21,1.6190733909606934,26.399431020363995,452.47489366739035,-163.64070722700916
astlingen_12_27_2007_17,2.3444578647613525,27.576272915571163,7029.93068362786,7351.063492022434
