,rr time,fl time,perf
astlingen_01_25_2007_13,20.498847246170044,10.397158865555092,652.2465906077744
astlingen_02_04_2007_10,16.151815176010132,1.7723106519710383,0.0
astlingen_02_08_2007_07,15.532848119735718,30.95836259141753,4908.171412941367
astlingen_02_10_2007_02,23.32076120376587,6.853945801400731,304.9548823112463
astlingen_02_21_2007_13,23.688727855682373,1.8511947976994214,0.0
astlingen_02_24_2007_17,18.636882781982422,1.8747633471706797,0.0
astlingen_02_28_2007_12,18.916205883026123,16.270360011680452,860.3423216621118
astlingen_03_19_2007_14,28.778640270233154,1.7763816551728682,0.0
astlingen_04_04_2007_12,9.070677042007446,27.03170077926234,6858.733841604008
astlingen_04_05_2007_09,15.68151068687439,2.220779849543716,14.89299219658149
astlingen_04_10_2007_02,14.60556435585022,1.7253594581897442,0.0
astlingen_04_27_2007_11,35.282100200653076,1.9054212286798837,0.0
astlingen_04_29_2007_02,19.18419122695923,1.7761047833273855,0.0
astlingen_05_10_2007_22,20.224496841430664,6.427331371790802,15.685881658278966
astlingen_05_22_2007_05,17.17464542388916,31.226287302818704,7449.945948685463
astlingen_06_12_2007_23,10.602383136749268,1.702451840043068,0.0
astlingen_07_18_2007_12,7.059621095657349,40.87057799487919,8510.052827095044
astlingen_07_23_2007_19,15.48969316482544,10.82406480072518,341.0459810039447
astlingen_07_25_2007_01,13.140511751174927,37.47084313159366,6232.639297543456
astlingen_07_27_2007_22,13.654468536376953,1.6304167245058405,0.0
astlingen_07_31_2007_00,28.0226571559906,27.635704620526386,6459.536227061676
astlingen_08_15_2007_13,9.1850266456604,14.120989720026651,308.4489351972182
astlingen_08_22_2007_08,7.504194259643555,5.352975193458267,0.00459895080593989
astlingen_08_22_2007_21,5.421294927597046,40.8859909649553,2240.7201237550285
astlingen_08_30_2007_03,15.427814722061157,1.8183767146702055,0.0
astlingen_08_30_2007_21,14.711467027664185,24.70346620835756,1959.9555680495887
astlingen_09_26_2007_12,3.762817144393921,49.128194904327394,9228.312444139076
astlingen_11_12_2007_20,12.819957971572876,1.7918919657959658,0.0
astlingen_11_13_2007_14,5.790275812149048,46.904159776626095,3614.561508762194
astlingen_11_16_2007_03,11.655027627944946,13.11350920142197,552.3870955030993
astlingen_11_17_2007_20,18.29032611846924,15.248118619529569,472.4032438722831
astlingen_11_19_2007_15,20.44773554801941,1.8311922789760753,0.0
astlingen_12_11_2007_21,8.32437539100647,2.4635457403204413,0.0
astlingen_12_13_2007_10,13.583239316940308,1.759196875868617,0.0
astlingen_12_17_2007_20,5.985447406768799,28.183849930763245,595.3721275134475
astlingen_12_24_2007_21,9.512337923049927,13.947445214449704,321.67624657265355
astlingen_12_27_2007_17,12.076650857925415,32.0957211179118,6630.446791075375
