,rr time,fl time,perf
astlingen_02_24_2007_17,20.34996724128723,81.1057013400315,0.0
astlingen_02_28_2007_12,24.199917554855347,81.61424340804417,1171.8641850124773
astlingen_03_19_2007_14,33.336912631988525,81.20769458622128,0.0
astlingen_04_04_2007_12,9.97088623046875,81.46728323635303,7056.364992549757
astlingen_04_05_2007_09,20.15788459777832,81.72633430452058,0.0
astlingen_04_10_2007_02,16.921443223953247,81.55050219480808,0.0
astlingen_04_27_2007_11,40.89140319824219,81.22836098806495,0.0
astlingen_04_29_2007_02,22.92134165763855,82.63941347884219,0.0
astlingen_05_10_2007_22,22.53880023956299,82.30163385461552,280.73248535030206
astlingen_05_22_2007_05,21.133856773376465,82.36208640641354,7429.772200499237
astlingen_06_12_2007_23,11.467106580734253,82.07046313370977,0.0
astlingen_07_18_2007_12,8.438634634017944,82.37807705804899,8524.268537610236
astlingen_07_23_2007_19,17.471694469451904,82.50607467685225,768.2107959610647
astlingen_07_25_2007_01,14.432801961898804,82.42739933000195,6353.068409581791
astlingen_07_27_2007_22,16.93987488746643,94.22882104720046,0.0
astlingen_07_31_2007_00,42.712886571884155,84.54457493699513,5978.539861631555
astlingen_08_15_2007_13,11.685298919677734,82.95151963028856,731.0089968021327
astlingen_08_22_2007_08,8.763329029083252,82.60095571868027,154.2875645077469
astlingen_08_22_2007_21,6.028858661651611,82.79071749078817,2822.454616484718
astlingen_08_30_2007_03,16.30989933013916,82.77413456047637,0.0
astlingen_08_30_2007_21,16.713189363479614,82.76837407444653,2132.72524622696
astlingen_09_26_2007_12,4.334664583206177,83.34760965108872,9404.711455113797
astlingen_11_12_2007_20,14.343005657196045,82.81753137357094,0.0
astlingen_11_13_2007_14,7.160378932952881,83.23024718607626,3918.1196272019306
astlingen_11_16_2007_03,12.551196575164795,82.89633080435962,726.5543981524913
astlingen_11_17_2007_20,23.548969984054565,82.77330476653819,896.8130073284756
astlingen_11_19_2007_15,25.868793725967407,82.47248711426292,0.0
astlingen_12_11_2007_21,9.140345096588135,83.10833204194401,0.0
astlingen_12_13_2007_10,15.818665981292725,83.00259669568088,0.0
astlingen_12_17_2007_20,6.194931745529175,83.8227109045818,744.2835169288453
astlingen_12_24_2007_21,9.28929328918457,83.69724924223763,577.7438010605102
astlingen_12_27_2007_17,14.31131649017334,83.6604283009806,6814.659224090876
