,river,creek,wwtp,setting,controlled
01_25_2007_13,737.837731453787,41.50258268208806,15196.770895654678,70.8523,491.3782614725085
02_04_2007_10,8.441702358714938,0.0,10966.8528901359,32.4537,207.45947753545704
02_08_2007_07,4504.688496976134,300.96876888535996,11908.22995756627,70.4451,447.1854611195039
02_10_2007_02,482.7504425484963,16.143625666939997,13748.175315177186,39.9862,228.9989688225717
02_21_2007_13,20.401296327840925,0.0,14738.744955800077,20.2821,139.15364761069242
02_24_2007_17,25.533290606404975,8.194742051610852,11644.241209142758,37.4353,170.80262527010728
02_28_2007_12,1156.6003677226695,30.451157859559807,14190.045413687585,65.3759,462.9756471835051
03_19_2007_14,0.0,0.0,17780.02058074531,10.9509,97.93543564726453
04_04_2007_12,4908.631868849046,2217.783372804357,5442.587032679924,39.9401,261.84875482187726
04_05_2007_09,131.2611432925248,5.606918608137447,10744.337919188973,49.9105,345.0826217260485
04_10_2007_02,6.797877299757239,0.0,9390.052873922838,18.3729,106.32342669846402
04_27_2007_11,0.0,80.49014268725941,17649.314115240457,33.7095,137.28925533692217
04_29_2007_02,98.5352352112516,0.0,10788.543264946562,44.7853,289.2642999629258
05_10_2007_22,247.8083640268792,9.536193067096951,11042.701047578732,46.3492,258.0505803362583
05_22_2007_05,6449.924221927834,949.3644263879496,11509.57201958687,35.681200000000004,275.1780737732556
06_12_2007_23,15.085190700815618,0.0,6603.607191010762,33.1295,152.89029208006326
07_18_2007_12,6166.823246950713,2256.454925058772,4716.387350884627,39.9628,315.3863754333157
07_23_2007_19,588.5337913448315,105.44490441329998,11491.219980870877,40.158699999999996,274.0523011017281
07_25_2007_01,5441.688863176481,733.2279064216837,9366.751450261678,58.9021,389.1255668851059
07_27_2007_22,0.0,0.09189702671098803,6714.005233157975,30.432299999999998,103.12150712520082
07_31_2007_00,5536.783347238297,245.9076859780945,18630.265605112985,72.2151,497.21153879510393
08_15_2007_13,459.7492406616681,98.39841098609543,4862.144422888554,20.3239,132.05747443634164
08_22_2007_08,85.42209521725484,315.57670936382436,4049.5755567434517,23.7493,159.56879362940762
08_22_2007_21,889.6083471121262,2001.491774227323,3818.8236520154583,32.234,178.41639224765544
08_30_2007_03,121.95191993827996,0.0,10867.764881678693,48.8393,251.64685991331297
08_30_2007_21,1401.1785772631408,767.4876911166601,10060.462762031117,44.2412,273.8939702717717
09_26_2007_12,8956.944789827128,246.92723857749306,2610.9123089805535,33.1526,237.83076331942556
11_12_2007_20,11.692804310984153,0.0,9394.824112186565,41.588899999999995,190.3173724419289
11_13_2007_14,3122.4285725218524,726.7712334595525,3920.749256481841,34.618700000000004,220.6065791183537
11_16_2007_03,720.7501592895215,80.14687830115594,6697.770545196623,22.555300000000003,135.53953959963025
11_17_2007_20,750.9061597483386,317.7663748847198,13277.16143416601,72.3222,421.2041070863645
11_19_2007_15,3.362230843048306,0.0,11934.03554688837,16.8159,108.30514212661367
12_11_2007_21,24.754946557070586,0.0,5199.819323667446,34.394099999999995,176.48114497245672
12_13_2007_10,0.0,0.0,9064.873375911437,23.2539,132.1648590682554
12_17_2007_20,293.8897174907631,466.7044311183634,3992.7455646020962,26.4085,177.40817116392356
12_24_2007_21,537.5874643744016,2.8054571485723923,6835.811855116313,39.495400000000004,249.0670889353412
12_27_2007_17,5301.080051798563,1346.2992896755677,7987.26627329338,41.5717,322.4295301324178
