,rr time,fl time,perf
astlingen_01_25_2007_13,24.157111883163452,73.3901726353553,408.051971399041
astlingen_02_04_2007_10,18.88195276260376,73.32973687183222,103.59294031726871
astlingen_02_08_2007_07,16.78959035873413,72.90619075600105,4840.710135024821
astlingen_02_10_2007_02,27.11600637435913,73.59026769389455,806.1977563606206
astlingen_02_21_2007_13,26.57610583305359,73.31477607743012,219.43940482497385
astlingen_02_24_2007_17,23.556888818740845,73.29780976905435,93.74287793030416
astlingen_02_28_2007_12,23.045048236846924,74.62005650529674,1291.8126288347387
astlingen_03_19_2007_14,32.35768461227417,73.87649913964333,172.95711244004252
astlingen_04_04_2007_12,11.97146463394165,74.51938325480411,7080.7114713502815
astlingen_04_05_2007_09,19.866469144821167,73.19532350771355,292.11861895354355
astlingen_04_10_2007_02,18.159728288650513,73.0873242402688,122.46766914628496
astlingen_04_27_2007_11,45.23219919204712,73.4574242790232,200.34778649235645
astlingen_04_29_2007_02,24.020195484161377,73.41712466951763,121.0225473237291
astlingen_05_10_2007_22,25.54372477531433,73.92469541927636,325.33786880838556
astlingen_05_22_2007_05,20.04623770713806,74.94649558244868,7390.193726279748
astlingen_06_12_2007_23,11.897032499313354,73.82260469879422,115.08879045357092
astlingen_07_18_2007_12,9.242979764938354,74.73723295137479,8441.581306052502
astlingen_07_23_2007_19,17.43088459968567,74.1631051704023,920.7252513958072
astlingen_07_25_2007_01,15.699063062667847,74.61727013176294,6206.762511989993
astlingen_07_27_2007_22,15.613495826721191,73.8424256631992,56.77572955406663
astlingen_07_31_2007_00,32.33701705932617,75.12187279799046,6150.089877287402
astlingen_08_15_2007_13,11.083418846130371,76.07515202542787,663.8203712645719
astlingen_08_22_2007_08,9.317914962768555,74.48864168155042,356.9816497586171
astlingen_08_22_2007_21,6.431962490081787,75.09235035139939,2560.0626091645136
astlingen_08_30_2007_03,18.63739323616028,74.63721237454233,220.8190640759392
astlingen_08_30_2007_21,17.430734157562256,74.43134314292355,1964.3711027960194
astlingen_09_26_2007_12,4.228648662567139,74.84057402014733,9245.394226767312
astlingen_11_12_2007_20,16.206990718841553,73.89975098126075,76.48310776843346
astlingen_11_13_2007_14,7.21718955039978,76.1311409088873,3774.618666546167
astlingen_11_16_2007_03,13.312666416168213,74.71899211891298,910.0484026729823
astlingen_11_17_2007_20,22.73686909675598,75.19035507099969,1383.0248298152007
astlingen_11_19_2007_15,22.165847301483154,74.60584127161492,45.30787913951252
astlingen_12_11_2007_21,9.239812135696411,74.84971538286531,77.25661518889203
astlingen_12_13_2007_10,17.558929204940796,74.93286300188787,97.03596933961347
astlingen_12_17_2007_20,6.614017486572266,74.71714558683593,722.3759547690406
astlingen_12_24_2007_21,10.213536024093628,75.98654886916444,582.3437630080431
astlingen_12_27_2007_17,13.346824407577515,76.00492314369448,6489.812637536337
