,rr time,fl time,perf
astlingen_01_25_2007_13,30.76988172531128,74.43821866830922,374.4006709476491
astlingen_02_04_2007_10,24.138916730880737,74.35182387306845,87.47524537630727
astlingen_02_08_2007_07,22.340431928634644,74.35759318780295,4929.2451541912615
astlingen_02_10_2007_02,33.508830308914185,74.35184337236943,707.1719825434935
astlingen_02_21_2007_13,33.94647765159607,74.41162283051463,88.17955538330534
astlingen_02_24_2007_17,28.07339096069336,74.45943848977839,23.516657067511083
astlingen_02_28_2007_12,28.816832542419434,74.4641183439423,1890.3454385734715
astlingen_03_19_2007_14,44.244227170944214,74.49021351260025,0.0
astlingen_04_04_2007_12,13.856451272964478,74.50858039855957,7019.082450339258
astlingen_04_05_2007_09,23.34260582923889,74.50994150855324,178.28811616669233
astlingen_04_10_2007_02,22.065124988555908,74.53699893676318,67.26656111982709
astlingen_04_27_2007_11,55.34655284881592,74.57816487689351,0.0
astlingen_04_29_2007_02,31.033429384231567,74.69387242098173,125.04735891767473
astlingen_05_10_2007_22,31.57651114463806,74.53536580125308,526.0200232461334
astlingen_05_22_2007_05,27.340773820877075,74.55493514588538,7489.192867690793
astlingen_06_12_2007_23,15.969013452529907,75.09611599998814,39.32146522733811
astlingen_07_18_2007_12,18.387962579727173,76.69504392921151,8464.247256743085
astlingen_07_23_2007_19,29.738036632537842,75.75726169241956,888.8681403821361
astlingen_07_25_2007_01,20.1012864112854,76.34018782231448,6180.345193376899
astlingen_07_27_2007_22,31.053343057632446,75.10829398296023,0.0
astlingen_07_31_2007_00,61.79084300994873,76.8387550566441,5380.120055984912
astlingen_08_15_2007_13,15.793282508850098,76.84278666332204,869.5549785753791
astlingen_08_22_2007_08,18.882232189178467,76.82996267910245,187.05983606575796
astlingen_08_22_2007_21,10.058434963226318,76.92931605618575,2400.3925878365135
astlingen_08_30_2007_03,37.529897689819336,77.88580108141598,219.18041143638592
astlingen_08_30_2007_21,32.56740212440491,89.64579996152928,2117.436285310231
astlingen_09_26_2007_12,6.1150288581848145,76.26069738268852,9186.883457427331
astlingen_11_12_2007_20,24.376401662826538,89.06691213215099,0.0
astlingen_11_13_2007_14,17.981160879135132,74.97762261283013,3931.6566293551095
astlingen_11_16_2007_03,17.967210292816162,74.65680279189009,924.3680181740567
astlingen_11_17_2007_20,28.331418991088867,74.74113917715695,1195.9875195203376
astlingen_11_19_2007_15,29.893142223358154,74.71270739747007,25.0230782823099
astlingen_12_11_2007_21,12.89132571220398,74.81608101223291,53.08408946643885
astlingen_12_13_2007_10,21.101184844970703,74.72827475940859,6.850744240417858
astlingen_12_17_2007_20,8.731828927993774,74.92687156282622,752.2976294725615
astlingen_12_24_2007_21,12.908122062683105,74.8755398111029,721.646833833691
astlingen_12_27_2007_17,18.027941703796387,74.84964332272929,6598.204082627094
