,Start,End,Date,Duration,Precipitation,Gage
1203,06/20/2016 01:05:00,06/20/2016 07:25:00,06/20/2016,380.0,41.49999999999999,hq2
1206,06/22/2016 09:25:00,06/22/2016 16:05:00,06/22/2016,400.0,21.9,hq2
1212,06/28/2016 04:00:00,06/28/2016 09:30:00,06/28/2016,330.0,19.1,hq2
1218,07/02/2016 16:25:00,07/02/2016 23:15:00,07/02/2016,410.0,31.90000000000001,hq2
1256,09/07/2016 02:10:00,09/07/2016 10:15:00,09/07/2016,485.0,28.8,hq2
1259,09/14/2016 02:05:00,09/14/2016 12:40:00,09/14/2016,635.0,26.0,hq2
1277,10/08/2016 00:45:00,10/08/2016 08:35:00,10/08/2016,470.0,20.700000000000003,hq2
1286,10/21/2016 00:40:00,10/21/2016 20:30:00,10/21/2016,1190.0,26.800000000000008,hq2
1288,10/22/2016 02:15:00,10/22/2016 12:45:00,10/22/2016,630.0,37.600000000000016,hq2
1289,10/22/2016 15:10:00,10/22/2016 22:55:00,10/22/2016,465.0,33.20000000000001,hq2
1292,10/25/2016 23:55:00,10/26/2016 10:10:00,10/25/2016,615.0,30.700000000000003,hq2
1293,10/26/2016 13:55:00,10/27/2016 05:10:00,10/26/2016,915.0,23.700000000000003,hq2
1362,03/30/2017 13:35:00,03/31/2017 04:10:00,03/30/2017,875.0,18.300000000000004,hq2
1368,04/07/2017 02:25:00,04/07/2017 09:25:00,04/07/2017,420.0,17.500000000000007,hq2
1386,05/12/2017 00:45:00,05/12/2017 14:15:00,05/12/2017,810.0,18.200000000000003,hq2
1388,05/23/2017 11:25:00,05/23/2017 21:55:00,05/23/2017,630.0,19.00000000000001,hq2
1391,06/05/2017 10:50:00,06/06/2017 00:05:00,06/05/2017,795.0,29.500000000000007,hq2
1394,06/10/2017 03:15:00,06/10/2017 12:10:00,06/10/2017,535.0,34.0,hq2
1395,06/10/2017 16:40:00,06/11/2017 00:35:00,06/10/2017,475.0,20.4,hq2
1402,06/19/2017 10:25:00,06/20/2017 04:15:00,06/19/2017,1070.0,21.50000000000001,hq2
1460,09/20/2017 11:55:00,09/21/2017 00:10:00,09/20/2017,735.0,23.60000000000001,hq2
1469,09/23/2017 23:35:00,09/24/2017 23:30:00,09/23/2017,1435.0,37.8,hq2
1478,09/30/2017 13:25:00,09/30/2017 20:00:00,09/30/2017,395.0,21.000000000000004,hq2
1501,11/17/2017 16:10:00,11/18/2017 05:25:00,11/17/2017,795.0,15.4,hq2
1545,02/24/2018 19:30:00,02/25/2018 05:15:00,02/24/2018,585.0,17.700000000000006,hq2
1596,05/25/2018 03:05:00,05/25/2018 13:25:00,05/25/2018,620.0,24.1,hq2
1610,06/20/2018 06:15:00,06/20/2018 17:20:00,06/20/2018,665.0,23.500000000000004,hq2
1622,07/04/2018 14:10:00,07/04/2018 21:50:00,07/04/2018,460.0,46.70000000000001,hq2
1624,07/05/2018 09:45:00,07/05/2018 18:15:00,07/05/2018,510.0,20.6,hq2
1627,07/22/2018 04:00:00,07/22/2018 17:05:00,07/22/2018,785.0,15.6,hq2
1635,08/02/2018 22:20:00,08/03/2018 12:55:00,08/02/2018,875.0,41.6,hq2
1661,09/16/2018 22:35:00,09/17/2018 11:45:00,09/16/2018,790.0,27.000000000000007,hq2
1671,10/15/2018 18:45:00,10/16/2018 05:10:00,10/15/2018,625.0,15.300000000000002,hq2
1681,11/08/2018 00:35:00,11/08/2018 07:10:00,11/08/2018,395.0,21.6,hq2
1695,11/20/2018 22:15:00,11/21/2018 16:50:00,11/20/2018,1115.0,23.800000000000004,hq2
1750,02/12/2019 11:50:00,02/13/2019 03:05:00,02/12/2019,915.0,19.900000000000013,hq2
1811,05/26/2019 02:10:00,05/26/2019 17:30:00,05/26/2019,920.0,38.10000000000001,hq2
1825,06/20/2019 14:25:00,06/21/2019 03:30:00,06/20/2019,785.0,37.2,hq2
1841,07/09/2019 07:45:00,07/09/2019 13:40:00,07/09/2019,355.0,16.6,hq2
1867,08/28/2019 20:25:00,08/29/2019 14:55:00,08/28/2019,1110.0,20.1,hq2
1881,09/06/2019 07:10:00,09/06/2019 13:20:00,09/06/2019,370.0,22.500000000000007,hq2
1906,11/30/2019 14:10:00,12/01/2019 07:05:00,11/30/2019,1015.0,18.9,hq2
2370,04/20/2016 14:15:00,04/21/2016 07:45:00,04/20/2016,1050.0,37.400000000000006,hq4
2372,04/23/2016 06:50:00,04/23/2016 18:05:00,04/23/2016,675.0,23.9,hq4
2418,06/03/2016 05:50:00,06/03/2016 23:55:00,06/03/2016,1085.0,21.500000000000007,hq4
2434,06/22/2016 09:25:00,06/22/2016 14:45:00,06/22/2016,320.0,23.800000000000004,hq4
2440,06/28/2016 03:50:00,06/28/2016 09:20:00,06/28/2016,330.0,20.7,hq4
2445,07/02/2016 16:15:00,07/03/2016 01:05:00,07/02/2016,530.0,33.4,hq4
2484,09/07/2016 02:40:00,09/07/2016 10:45:00,09/07/2016,485.0,30.90000000000001,hq4
2488,09/14/2016 02:05:00,09/14/2016 12:40:00,09/14/2016,635.0,27.30000000000001,hq4
2516,10/08/2016 00:00:00,10/08/2016 08:45:00,10/08/2016,525.0,22.200000000000003,hq4
2523,10/21/2016 00:40:00,10/21/2016 18:05:00,10/21/2016,1045.0,22.60000000000001,hq4
2525,10/21/2016 23:25:00,10/22/2016 11:45:00,10/21/2016,740.0,27.4,hq4
2526,10/22/2016 15:15:00,10/22/2016 23:00:00,10/22/2016,465.0,34.90000000000001,hq4
2529,10/26/2016 00:35:00,10/26/2016 10:10:00,10/26/2016,575.0,28.3,hq4
2530,10/26/2016 13:55:00,10/27/2016 05:15:00,10/26/2016,920.0,19.500000000000007,hq4
2574,01/06/2017 15:35:00,01/07/2017 06:05:00,01/06/2017,870.0,26.20000000000001,hq4
2608,03/30/2017 13:35:00,03/31/2017 05:45:00,03/30/2017,970.0,19.300000000000008,hq4
2614,04/07/2017 02:25:00,04/07/2017 10:45:00,04/07/2017,500.0,19.000000000000004,hq4
2619,04/09/2017 23:25:00,04/10/2017 10:20:00,04/09/2017,655.0,15.6,hq4
2625,04/25/2017 18:25:00,04/26/2017 06:35:00,04/25/2017,730.0,16.099999999999998,hq4
2634,05/12/2017 00:50:00,05/12/2017 14:10:00,05/12/2017,800.0,19.1,hq4
2636,05/23/2017 11:25:00,05/23/2017 23:00:00,05/23/2017,695.0,20.100000000000005,hq4
2639,06/05/2017 10:45:00,06/06/2017 03:15:00,06/05/2017,990.0,31.4,hq4
2641,06/10/2017 03:15:00,06/10/2017 11:50:00,06/10/2017,515.0,39.400000000000006,hq4
2642,06/10/2017 16:40:00,06/10/2017 22:40:00,06/10/2017,360.0,21.700000000000003,hq4
2646,06/12/2017 03:40:00,06/12/2017 11:35:00,06/12/2017,475.0,15.299999999999995,hq4
2649,06/13/2017 11:55:00,06/13/2017 18:25:00,06/13/2017,390.0,15.000000000000002,hq4
2650,06/19/2017 10:25:00,06/20/2017 04:05:00,06/19/2017,1060.0,26.10000000000001,hq4
2706,09/20/2017 12:00:00,09/21/2017 00:05:00,09/20/2017,725.0,28.4,hq4
2715,09/23/2017 23:30:00,09/24/2017 22:30:00,09/23/2017,1380.0,41.7,hq4
2724,09/30/2017 13:20:00,09/30/2017 20:05:00,09/30/2017,405.0,24.3,hq4
2746,11/17/2017 16:10:00,11/18/2017 05:40:00,11/17/2017,810.0,20.700000000000006,hq4
2751,11/21/2017 19:40:00,11/22/2017 08:45:00,11/21/2017,785.0,16.900000000000013,hq4
2792,02/24/2018 19:35:00,02/25/2018 03:30:00,02/24/2018,475.0,18.8,hq4
2839,05/25/2018 03:15:00,05/25/2018 13:25:00,05/25/2018,610.0,27.0,hq4
2851,06/20/2018 06:10:00,06/20/2018 17:00:00,06/20/2018,650.0,23.200000000000006,hq4
2864,07/05/2018 11:05:00,07/05/2018 19:40:00,07/05/2018,515.0,18.9,hq4
2867,07/22/2018 04:10:00,07/22/2018 16:10:00,07/22/2018,720.0,17.500000000000004,hq4
2876,08/03/2018 01:30:00,08/03/2018 12:45:00,08/03/2018,675.0,35.4,hq4
2904,09/16/2018 22:30:00,09/17/2018 11:15:00,09/16/2018,765.0,29.4,hq4
2917,11/08/2018 00:35:00,11/08/2018 07:20:00,11/08/2018,405.0,23.500000000000007,hq4
2930,11/20/2018 22:10:00,11/21/2018 16:35:00,11/20/2018,1105.0,25.8,hq4
2979,02/12/2019 11:50:00,02/13/2019 03:40:00,02/12/2019,950.0,21.100000000000016,hq4
2983,02/18/2019 11:50:00,02/19/2019 06:50:00,02/18/2019,1140.0,16.40000000000001,hq4
3036,06/26/2019 02:45:00,06/26/2019 08:05:00,06/26/2019,320.0,38.90000000000001,hq4
3045,07/09/2019 06:00:00,07/09/2019 13:45:00,07/09/2019,465.0,15.7,hq4
3069,08/28/2019 20:25:00,08/29/2019 15:00:00,08/28/2019,1115.0,22.200000000000003,hq4
3074,09/02/2019 08:50:00,09/03/2019 05:35:00,09/02/2019,1245.0,48.1,hq4
3083,09/06/2019 07:20:00,09/06/2019 13:20:00,09/06/2019,360.0,20.0,hq4
3099,11/27/2019 13:35:00,11/27/2019 23:10:00,11/27/2019,575.0,18.5,hq4
3100,11/30/2019 14:05:00,12/01/2019 07:40:00,11/30/2019,1055.0,21.60000000000001,hq4
3107,12/21/2019 18:55:00,12/22/2019 07:20:00,12/21/2019,745.0,23.60000000000001,hq4
