,Start,End,Date,Duration,Precipitation,Gage
67,05/09/2016 15:15:00,05/10/2016 07:05:00,05/09/2016,950.0,20.50000000000001,qb
68,05/15/2016 14:20:00,05/15/2016 23:30:00,05/15/2016,550.0,13.6,qb
69,05/24/2016 05:55:00,05/24/2016 07:25:00,05/24/2016,90.0,0.8,qb
70,05/25/2016 23:15:00,05/25/2016 23:15:00,05/25/2016,0.0,0.1,qb
71,05/26/2016 06:15:00,05/26/2016 06:15:00,05/26/2016,0.0,0.1,qb
72,05/26/2016 09:50:00,05/26/2016 09:50:00,05/26/2016,0.0,0.1,qb
73,05/26/2016 18:05:00,05/26/2016 18:25:00,05/26/2016,20.0,0.2,qb
74,05/26/2016 20:35:00,05/26/2016 22:00:00,05/26/2016,85.0,0.7,qb
75,05/27/2016 01:55:00,05/27/2016 02:40:00,05/27/2016,45.0,1.5000000000000002,qb
76,05/27/2016 04:45:00,05/27/2016 12:50:00,05/27/2016,485.0,9.3,qb
77,05/28/2016 03:25:00,05/29/2016 12:05:00,05/28/2016,1960.0,27.500000000000004,qb
78,05/31/2016 19:45:00,05/31/2016 20:10:00,05/31/2016,25.0,0.9,qb
79,05/31/2016 23:35:00,06/01/2016 00:35:00,05/31/2016,60.0,17.400000000000002,qb
80,06/01/2016 04:30:00,06/01/2016 07:30:00,06/01/2016,180.0,14.6,qb
81,06/03/2016 07:05:00,06/04/2016 00:00:00,06/03/2016,1015.0,30.4,qb
82,06/08/2016 17:30:00,06/08/2016 18:00:00,06/08/2016,30.0,1.3000000000000005,qb
83,06/09/2016 05:40:00,06/09/2016 05:40:00,06/09/2016,0.0,0.1,qb
84,06/11/2016 16:05:00,06/11/2016 16:05:00,06/11/2016,0.0,0.1,qb
85,06/12/2016 02:15:00,06/12/2016 21:55:00,06/12/2016,1180.0,71.60000000000001,qb
86,06/13/2016 02:45:00,06/13/2016 02:45:00,06/13/2016,0.0,0.1,qb
87,06/15/2016 18:05:00,06/15/2016 18:55:00,06/15/2016,50.0,0.3,qb
88,06/15/2016 21:30:00,06/16/2016 00:50:00,06/15/2016,200.0,5.299999999999999,qb
89,06/16/2016 16:25:00,06/16/2016 16:40:00,06/16/2016,15.0,1.2000000000000002,qb
90,06/19/2016 19:20:00,06/19/2016 19:20:00,06/19/2016,0.0,0.1,qb
91,06/19/2016 21:25:00,06/19/2016 22:20:00,06/19/2016,55.0,0.3,qb
92,06/20/2016 01:15:00,06/20/2016 19:40:00,06/20/2016,1105.0,63.29999999999999,qb
93,06/22/2016 01:00:00,06/22/2016 03:10:00,06/22/2016,130.0,1.8000000000000005,qb
94,06/22/2016 09:30:00,06/22/2016 15:00:00,06/22/2016,330.0,20.4,qb
95,06/25/2016 01:10:00,06/25/2016 02:00:00,06/25/2016,50.0,1.1,qb
96,06/25/2016 05:15:00,06/25/2016 14:00:00,06/25/2016,525.0,12.1,qb
97,06/25/2016 22:20:00,06/25/2016 22:20:00,06/25/2016,0.0,0.1,qb
98,06/27/2016 00:05:00,06/27/2016 06:40:00,06/27/2016,395.0,8.999999999999998,qb
99,06/27/2016 11:25:00,06/27/2016 17:25:00,06/27/2016,360.0,3.500000000000001,qb
100,06/28/2016 03:55:00,06/28/2016 09:45:00,06/28/2016,350.0,12.5,qb
101,06/28/2016 14:55:00,06/28/2016 17:00:00,06/28/2016,125.0,17.8,qb
102,06/28/2016 23:45:00,06/29/2016 10:30:00,06/28/2016,645.0,15.0,qb
103,07/01/2016 02:25:00,07/01/2016 05:20:00,07/01/2016,175.0,2.7,qb
104,07/02/2016 03:20:00,07/02/2016 07:50:00,07/02/2016,270.0,9.599999999999998,qb
105,07/02/2016 16:15:00,07/02/2016 23:30:00,07/02/2016,435.0,21.90000000000001,qb
106,07/03/2016 04:40:00,07/03/2016 05:25:00,07/03/2016,45.0,0.4,qb
107,07/03/2016 15:35:00,07/03/2016 17:35:00,07/03/2016,120.0,0.4,qb
108,07/04/2016 03:40:00,07/04/2016 04:20:00,07/04/2016,40.0,0.2,qb
109,07/05/2016 15:00:00,07/05/2016 17:50:00,07/05/2016,170.0,13.9,qb
110,07/10/2016 02:55:00,07/10/2016 03:20:00,07/10/2016,25.0,0.2,qb
111,07/10/2016 14:35:00,07/11/2016 11:40:00,07/10/2016,1265.0,12.000000000000004,qb
112,07/11/2016 15:00:00,07/11/2016 17:20:00,07/11/2016,140.0,0.4,qb
113,07/13/2016 18:50:00,07/13/2016 20:10:00,07/13/2016,80.0,2.2,qb
114,07/14/2016 01:45:00,07/14/2016 01:45:00,07/14/2016,0.0,0.1,qb
115,07/14/2016 10:25:00,07/14/2016 15:05:00,07/14/2016,280.0,8.4,qb
116,07/15/2016 14:50:00,07/15/2016 14:50:00,07/15/2016,0.0,0.1,qb
117,07/15/2016 20:05:00,07/15/2016 20:10:00,07/15/2016,5.0,0.5,qb
