,rr time,fl time,perf,objective
astlingen_01_25_2007_13,4.000689268112183,41.4808963585873,1317.5004843653378,23.694742252014336
astlingen_02_04_2007_10,2.79408597946167,41.363636939030776,0.0,-1071.2787509326079
astlingen_02_08_2007_07,2.145486354827881,30.362644940397164,6522.690649292392,5472.332097562334
astlingen_02_10_2007_02,3.8154079914093018,39.023684118895254,371.8763315879127,-992.5281980434515
astlingen_02_21_2007_13,4.0767786502838135,46.84845577800734,10.906457667449983,-1428.0806526750457
astlingen_02_24_2007_17,3.1418261528015137,44.409218373563554,0.0,-1139.0643574237401
astlingen_02_28_2007_12,3.5310184955596924,39.78086370229721,1025.4654447442988,-265.4940963714197
astlingen_03_19_2007_14,4.9490203857421875,46.00227884602794,0.0,-1832.9362876587059
astlingen_04_04_2007_12,1.6727328300476074,38.26913717389107,7270.770322621236,8895.61796628447
astlingen_04_05_2007_09,2.8888237476348877,31.593824602613513,0.0,-926.0500942826451
astlingen_04_10_2007_02,2.659736156463623,47.63859286573198,138.9613070412938,-607.51405700223
astlingen_04_27_2007_11,6.58768367767334,40.36607632764181,0.0,-1869.5157526382027
astlingen_04_29_2007_02,3.2817182540893555,30.817661780864,0.0,-962.8235259859382
astlingen_05_10_2007_22,3.4532642364501953,31.400575689647507,60.31846542417035,-984.1877119230255
astlingen_05_22_2007_05,3.0091211795806885,25.51581911223275,7624.010761470962,7007.0805395727875
astlingen_06_12_2007_23,1.7931718826293945,35.855843698978425,0.0,-600.8037564474326
astlingen_07_18_2007_12,1.2620759010314941,28.179872291188843,8704.65562158596,10432.78071835008
astlingen_07_23_2007_19,2.806236505508423,26.747585280441943,675.8979322200681,-179.26419209666474
astlingen_07_25_2007_01,2.1525449752807617,24.584098626696875,6866.9570668178285,6675.510640821645
astlingen_07_27_2007_22,2.4786007404327393,44.60190707104547,0.0,-662.8729136598391
astlingen_07_31_2007_00,4.7641441822052,28.074487727584568,6510.039657858473,5190.711142548515
astlingen_08_15_2007_13,1.714876651763916,34.141025618065235,429.9248322491425,-40.164820907846305
astlingen_08_22_2007_08,1.2696516513824463,33.83374652144027,28.36378170448695,-318.9971860522709
astlingen_08_22_2007_21,1.336820125579834,28.225865779099642,2656.375204576272,4248.635901240053
astlingen_08_30_2007_03,2.65999174118042,43.11673661846442,0.0,-1033.7473859579356
astlingen_08_30_2007_21,2.7707369327545166,32.39203430777011,2422.9954627851193,2220.5997879411393
astlingen_09_26_2007_12,0.691108226776123,33.17901617127496,9314.666060184412,9308.516971569643
astlingen_11_12_2007_20,2.39298939704895,49.20431772433221,0.0,-882.977889035795
astlingen_11_13_2007_14,1.0374102592468262,27.584305741957255,3896.6503848328784,4095.225239858749
astlingen_11_16_2007_03,1.9263501167297363,38.274544609220406,608.6883428111531,-46.89444611557411
astlingen_11_17_2007_20,3.1442477703094482,36.951101020142275,587.9649204367461,-521.0746205328392
astlingen_11_19_2007_15,3.268613338470459,42.531017679664956,0.0,-1180.9109359137876
astlingen_12_11_2007_21,1.4947481155395508,41.264909460431056,0.0,-476.4476223360673
astlingen_12_13_2007_10,2.684861183166504,52.46543783741397,0.0,-880.4251952481369
astlingen_12_17_2007_20,1.0349063873291016,38.62714095115662,720.1958066221406,814.8911367700264
astlingen_12_24_2007_21,1.6195855140686035,37.41760190053918,436.6783497241376,-185.64621904369199
astlingen_12_27_2007_17,2.234686851501465,30.937352905925522,6912.6455242143265,7392.18859992304
