,rr time,fl time,perf,objective
astlingen_02_04_2007_10,14.65008807182312,12.312632667947803,0.0,-876.0613135065732
astlingen_02_08_2007_07,13.656574964523315,13.184861957272396,5726.888085740395,5413.626700801413
astlingen_02_10_2007_02,20.244577407836914,13.271315790649153,163.82342162872362,-1060.3380739061051
astlingen_02_21_2007_13,20.683377981185913,12.373255603981816,0.0,-1201.9704925006827
astlingen_02_24_2007_17,17.341883182525635,12.376040187583962,0.0,-1016.313871355089
astlingen_02_28_2007_12,18.050668954849243,11.616893719224368,1379.0384781278026,349.661344073322
astlingen_03_19_2007_14,27.042104482650757,12.409001822595473,592.0506226917374,-828.9206541281826
astlingen_04_04_2007_12,8.218803644180298,13.20187292098999,6998.15796661408,8490.374824824918
astlingen_04_05_2007_09,14.250602960586548,13.142524629650694,50.725089772102635,-963.1626286494318
astlingen_04_10_2007_02,13.656450271606445,12.420229954597277,6.014286139179491,-792.368191520861
astlingen_04_27_2007_11,33.48834300041199,12.757748337063063,195.21261915064736,-1269.458251827927
astlingen_04_29_2007_02,18.119213581085205,12.811485904255552,0.0,-1013.2247794670415
astlingen_05_10_2007_22,18.849567890167236,13.553403596174881,55.47735987302568,-959.4743458517083
astlingen_05_22_2007_05,16.290555477142334,13.199337374656759,7809.290924085739,7452.711267099305
astlingen_06_12_2007_23,9.749482870101929,12.959912630064148,143.65135687961094,-273.7958976483782
astlingen_07_18_2007_12,6.643229722976685,12.492254693786819,8621.975647672305,9886.149603981936
astlingen_07_23_2007_19,14.709855318069458,12.85454425868198,796.4077067166525,-149.4697237166322
astlingen_07_25_2007_01,12.077449798583984,12.939195638080294,6840.6054992109075,6851.946167370488
astlingen_07_27_2007_22,12.93282151222229,12.87058874744697,0.0,-609.5061036883503
astlingen_07_31_2007_00,26.686996936798096,12.901957923021072,6856.554530360883,5646.788791811035
astlingen_08_15_2007_13,8.16014552116394,14.33571570919406,369.11978161565884,-96.78774863122592
astlingen_08_22_2007_08,6.882613182067871,12.491040033630178,0.004602723716207908,-374.23177759014686
astlingen_08_22_2007_21,5.058134078979492,13.403748146418867,2692.5390258791804,4206.275169367108
astlingen_08_30_2007_03,13.698402881622314,12.466720724407631,0.0,-943.8449822278193
astlingen_08_30_2007_21,13.278095006942749,13.16847711330966,2597.2307207949375,2263.3689214620454
astlingen_09_26_2007_12,3.4894094467163086,14.034055685997009,9239.069300524488,9372.471414878559
astlingen_11_12_2007_20,11.785058736801147,12.06995662170298,0.0,-766.3996753287761
astlingen_11_13_2007_14,5.440796852111816,13.405587976978671,3851.296637213315,4176.464372557686
astlingen_11_16_2007_03,10.661035537719727,13.153030474980673,615.8665835510207,9.429987876189386
astlingen_11_17_2007_20,16.872373342514038,13.063784803662982,1352.4197455249896,539.9623497567753
astlingen_11_19_2007_15,18.204370737075806,12.549475876338175,0.0,-986.5941821412987
astlingen_12_11_2007_21,7.7684645652771,12.531386737073406,0.0,-440.29783347608554
astlingen_12_13_2007_10,12.871032476425171,13.13118835719856,0.0,-779.3258288654677
astlingen_12_17_2007_20,5.120813369750977,13.304296534636926,745.1181143392323,867.1554548340062
astlingen_12_24_2007_21,7.915484666824341,11.97876908490946,468.36429336963806,-141.7402465014328
astlingen_12_27_2007_17,10.756999015808105,12.77250233196443,6952.608765531437,7393.909114441702
