,rr time,fl time,perf,objective
astlingen_01_25_2007_13,2.8510661125183105,4.303994294135801,330.07825680984934,-1195.0984202097873
astlingen_02_04_2007_10,2.3723275661468506,4.022080957536867,11.06097046156997,-1118.234119490543
astlingen_02_08_2007_07,1.733203411102295,3.2302413182922556,4981.347325399931,3827.807363176682
astlingen_02_10_2007_02,2.557591676712036,3.4297895044343085,479.47559343006725,-959.4340592566259
astlingen_02_21_2007_13,3.2843151092529297,4.196728299352414,17.635692702243322,-1525.3029248971832
astlingen_02_24_2007_17,2.6687724590301514,3.9352126061008668,13.573482745253788,-1203.3389006670209
astlingen_02_28_2007_12,3.0638697147369385,4.282162314536524,1177.7131334437584,-246.77347648467588
astlingen_03_19_2007_14,4.2048020362854,3.5502770875955556,0.0,-1864.0628351866158
astlingen_04_04_2007_12,1.2738535404205322,3.9339784747675846,6981.523841646291,8417.727274558272
astlingen_04_05_2007_09,2.3644728660583496,4.507272018085827,107.87609842848511,-978.1091144109696
astlingen_04_10_2007_02,1.981513500213623,3.9207444603626547,3.825177408298752,-957.2539349210062
astlingen_04_27_2007_11,5.443984270095825,3.6861320687818897,0.0,-1890.7657124835137
astlingen_04_29_2007_02,2.9129319190979004,3.9909194120379725,56.04859430893926,-1054.729601835955
astlingen_05_10_2007_22,2.7812442779541016,3.9332962376730785,230.93680424866795,-896.0204654523739
astlingen_05_22_2007_05,2.642036199569702,4.19652836119875,7264.637501097209,6616.637498524228
astlingen_06_12_2007_23,1.584317684173584,4.461788616010121,10.009296242839543,-660.7268060885688
astlingen_07_18_2007_12,0.9892292022705078,4.329203308402718,8429.23441322036,9725.18522978812
astlingen_07_23_2007_19,2.318005084991455,4.223520652782282,478.3129805581236,-674.2292538752617
astlingen_07_25_2007_01,1.8678796291351318,3.8474522751869915,6161.774280844197,5766.718091983457
astlingen_07_27_2007_22,2.103325605392456,3.7426393800133826,2.036465056201969,-712.6683592919373
astlingen_07_31_2007_00,4.13034462928772,4.503012187205828,5558.563843051455,3735.972454314294
astlingen_08_15_2007_13,1.2959144115447998,3.8696396068860124,497.16496084107985,1.8059794275981744
astlingen_08_22_2007_08,1.1137535572052002,4.040437828136396,150.42288954935137,-183.28874017271224
astlingen_08_22_2007_21,0.802018404006958,4.067721687514206,2421.820343590417,3799.4335381981177
astlingen_08_30_2007_03,1.9665424823760986,4.010536267787596,89.38577418627116,-1011.8567529657735
astlingen_08_30_2007_21,2.0555574893951416,3.823816462566978,1902.8188860887374,1329.6060632170138
astlingen_09_26_2007_12,0.550377607345581,4.504480147361756,9068.816462213545,9056.84427670102
astlingen_11_12_2007_20,2.1165075302124023,4.176284299177282,20.618114143331535,-939.4474478162579
astlingen_11_13_2007_14,0.8587257862091064,3.8424045962672078,3606.1026870810965,3758.86462461543
astlingen_11_16_2007_03,1.6630825996398926,3.517834178800505,724.3694919928517,36.28101285368194
astlingen_11_17_2007_20,2.55007004737854,4.36073603922007,599.1709105537702,-718.1749094769458
astlingen_11_19_2007_15,2.933121681213379,3.83243224153108,9.426642356326932,-1230.293109039224
astlingen_12_11_2007_21,1.1674864292144775,4.852925903341744,14.18680161310922,-510.73459872357085
astlingen_12_13_2007_10,2.0890331268310547,3.9374583895142012,4.601892704853208,-940.721015042542
astlingen_12_17_2007_20,0.8510937690734863,4.576703589538048,631.653974121939,582.5840992532428
astlingen_12_24_2007_21,1.1691834926605225,4.344775891566014,450.03759942379367,-225.46122923835082
astlingen_12_27_2007_17,1.6890935897827148,4.268800218259135,6507.113702668823,6791.630302944012
