,river,creek,wwtp,setting,controlled
01_25_2007_13,414.00103033544724,0.0,15322.145750396923,134.36920271944973,940.9702014260113
02_04_2007_10,0.5578792964117931,0.0,11448.744600641607,61.86203296000499,314.46680591387667
02_08_2007_07,4659.668836266596,332.2987310192703,11895.528370717488,117.69952944456841,807.315670511832
02_10_2007_02,423.9865345605806,0.00585016948885359,14519.09769517525,67.08676186504144,304.2118272333614
02_21_2007_13,0.36776815525574524,0.0,15517.984115711859,90.86912141840244,390.7656434684922
02_24_2007_17,0.0,0.0,12269.56664864103,72.03975588990309,320.6891887781856
02_28_2007_12,1353.5587849595652,7.67559300303685,14351.067172987567,108.99943613640667,736.7511486681883
03_19_2007_14,0.0,0.0,18764.590727861632,60.77361147020818,198.968046955892
04_04_2007_12,5120.5554936338185,1837.8969439361954,5567.252363392206,47.482340270399284,303.4131394701075
04_05_2007_09,0.025558130255507405,0.0,10921.704531266987,100.10733020217056,632.954879997204
04_10_2007_02,0.0,0.0,9751.953630925002,66.28818763491569,330.29926425696635
04_27_2007_11,0.0,0.0,18968.53750194137,87.04702708285592,216.66883599403485
04_29_2007_02,0.0,0.0,11158.912575013212,92.34342924152548,491.53407407735665
05_10_2007_22,214.63187388798164,0.0,11323.191210371273,90.90345659258094,494.9422909296669
05_22_2007_05,6853.495434892063,580.1138999318439,11659.114293982308,106.77535984218264,712.33471151451
06_12_2007_23,0.05273408149011882,0.0,6755.68475108035,60.68380117791095,309.80178539262755
07_18_2007_12,6485.801321812541,1951.523139495834,4710.63163564972,47.66545710451625,369.68645009997914
07_23_2007_19,757.0500325019011,21.510941007489954,11554.74200192035,107.75877450026024,700.7493714881134
07_25_2007_01,5582.963541550427,558.3889406446602,9360.463295263691,89.64427771370681,656.0692395229535
07_27_2007_22,0.4430814806447889,0.0,7176.577696643972,32.90643237697914,128.43470451428442
07_31_2007_00,5585.696569666496,68.51865410127445,18968.083966768336,187.6469138786268,946.5240206043891
08_15_2007_13,554.1474140761686,0.0,4975.251239092654,34.9538133263261,222.51853015813998
08_22_2007_08,50.318269560193244,0.0046091253725968,4191.119616488449,38.10127356128256,245.37479929170684
08_22_2007_21,1013.9766093699739,1924.4690509018014,3825.501811046813,46.5076552744197,319.8378369471322
08_30_2007_03,51.87283679690357,0.0,11046.449535951173,72.85913228904697,394.6164030488968
08_30_2007_21,1553.9434997402316,524.4717114583104,10123.264698352783,96.91211611675041,705.43768166436
09_26_2007_12,8847.932028880949,246.92710447363046,2597.0714162377103,28.589742023589054,209.08419707698295
11_12_2007_20,0.0,0.0,9663.551055002064,59.40208602475513,283.4429762632492
11_13_2007_14,3192.6725981274203,647.4203218146431,3899.988978737425,35.98949789014726,237.22124232988048
11_16_2007_03,663.7849407145322,0.0,6940.335153955911,37.115678710581534,211.19100171305482
11_17_2007_20,640.7216088534739,130.95130722322972,13349.16580975709,107.97512290376596,620.3718668309191
11_19_2007_15,0.0,0.0,12419.234150329763,59.318700482342926,232.13189382571943
12_11_2007_21,0.0,0.0,5271.304942719486,52.48603794794498,309.26817008738067
12_13_2007_10,0.48805494352779005,0.0,9477.797846237163,56.97709643382824,273.12517238441245
12_17_2007_20,292.66733976296297,400.97803645042904,4000.055751371856,48.80985352534169,345.8732119239039
12_24_2007_21,348.49647893805917,2.8054712433726,6821.4971271264,70.51059266192746,453.2824856067157
12_27_2007_17,5468.850597778923,1147.7962122895174,7992.225952129268,85.06903382482334,595.5716382286198
