,rr time,fl time,perf
astlingen_04_10_2007_02,19.753313779830933,183.61911116655057,0.0
astlingen_04_27_2007_11,48.71135687828064,184.73507956571356,0.0
astlingen_04_29_2007_02,26.368600130081177,182.9959147317069,0.0
astlingen_05_10_2007_22,27.305811166763306,182.9851226153439,271.6222357363619
astlingen_05_22_2007_05,23.627641439437866,187.0157070803264,7156.787413461501
astlingen_06_12_2007_23,14.173299551010132,182.2547244460959,0.009467965348317094
astlingen_07_18_2007_12,9.714881896972656,187.04115456801193,8457.806075224473
astlingen_07_23_2007_19,21.273220777511597,183.40457551939446,703.3552626652377
astlingen_07_25_2007_01,17.45579242706299,185.80260582173125,6111.30925422562
astlingen_07_27_2007_22,18.772446393966675,182.95108682632446,0.0
astlingen_07_31_2007_00,38.936410665512085,189.09900483947533,5677.877204705401
astlingen_08_15_2007_13,11.74671721458435,182.4528711611225,548.7799484198543
astlingen_08_22_2007_08,9.99085521697998,183.04915852016873,132.07561967486234
astlingen_08_22_2007_21,7.313495397567749,182.0938217997551,2745.568582773356
astlingen_08_30_2007_03,19.845179557800293,183.74998894727455,87.66473591157128
astlingen_08_30_2007_21,19.090319633483887,183.7592122554779,2098.1435707219125
astlingen_09_26_2007_12,5.084110975265503,184.99625297955103,8987.825937283187
astlingen_11_12_2007_20,17.1263689994812,182.35481129003608,2.239474903023554
astlingen_11_13_2007_14,7.813419818878174,184.0046356291998,3860.1418042214377
astlingen_11_16_2007_03,15.44680380821228,183.01613959452,668.4062137360057
astlingen_11_17_2007_20,24.654855728149414,182.51724103002837,1008.2147920003406
astlingen_11_19_2007_15,26.30653715133667,183.3754492044449,0.272944395659889
astlingen_12_11_2007_21,11.225623846054077,183.44702219963074,0.9028091245189463
astlingen_12_13_2007_10,18.497575283050537,184.13831601142883,0.0
astlingen_12_17_2007_20,7.313291311264038,182.22089717388153,712.0430534523707
astlingen_12_24_2007_21,11.428809881210327,181.874101731085,373.36652655388
astlingen_12_27_2007_17,15.58059549331665,183.61602996076857,6527.352811213534
