,flood,cso,wwtp,tank,pump,rough
test_0,2567.867227548856,1814.0272056290871,-690.9707634480819,0.0,49.41504673606343,360.0
test_1,7420.383661142973,2835.113625662615,-921.1835061826102,4000.0,96.76323824683838,560.0
test_2,10883.434873213471,3164.591783441396,-949.0773057958638,0.0,110.40684940068583,640.0
test_3,15634.142158602664,3793.780353080353,-1041.745218715349,2000.0,133.26953001736734,800.0
total,36505.82792050797,11607.51296781345,-3602.976794141905,6000.0,389.85466440095496,2360.0
