,rr time,fl time,perf,objective
astlingen_08_15_2007_13,8.09592866897583,76.84368304283389,463.3168811161743,-34.265759937085306
astlingen_08_22_2007_08,6.896597385406494,84.57411760318128,126.56329270027453,-292.75095330443105
astlingen_08_22_2007_21,5.075799942016602,77.7834705073258,2242.849119975077,3623.4073352894043
astlingen_08_30_2007_03,13.729126453399658,78.86212620403194,169.59741636810338,-935.0902852318727
astlingen_08_30_2007_21,13.201667308807373,94.08734203953492,2016.7199894082455,1370.990029876878
astlingen_09_26_2007_12,3.495404005050659,93.82004379034042,9089.001840813084,9077.380514457498
astlingen_11_12_2007_20,11.873114347457886,72.2878368637141,43.36222331280102,-922.8915461125121
astlingen_11_13_2007_14,5.449969530105591,88.47388880868112,3595.026149221136,3720.6278305145884
astlingen_11_16_2007_03,10.711373329162598,71.6079085260872,685.5657022305616,-8.719263771266242
astlingen_11_17_2007_20,17.178916454315186,92.22067927097788,704.8777184296263,-618.076354179975
astlingen_11_19_2007_15,18.195088148117065,73.896810404992,25.77306079219831,-1208.3759072446467
astlingen_12_11_2007_21,7.850305080413818,84.49535834655333,59.803296104255594,-467.1965169539943
astlingen_12_13_2007_10,12.94473910331726,72.71419211819365,59.7546512807644,-888.1646366871983
astlingen_12_17_2007_20,5.128968954086304,105.99477621604656,648.9015003223728,574.4836274952157
astlingen_12_24_2007_21,8.216246604919434,99.06561953942854,481.218128465684,-195.906244313284
astlingen_12_27_2007_17,10.985679626464844,84.18665564252484,6538.429043214077,6793.609513889078
