,Node depth,Node Inflow,Node outflow,Node flooding,Edge depth,Edge volume,Edge flow,Accuracy,Precision,Recall,F1
r1_nncat_0_vali,0.11303194612264633,2.006394386291504,1.9697506427764893,4.022387504577637,0.010660157538950443,4.93521785736084,1.310983419418335,0.626027035723166,0.3679846026999646,0.9936186689604041,0.5370674097849324
r1_nncat_1_vali,0.11543884873390198,7.553494930267334,8.08089542388916,10.99325942993164,0.011626971885561943,5.8274102210998535,1.619012713432312,0.6210098194888002,0.3788053706832683,0.9894569886381478,0.5478651353708367
r1_nncat_2_vali,0.15241557359695435,13.432611465454102,3.8256266117095947,16.6346378326416,0.01679607667028904,8.107320785522461,2.584169864654541,0.5630734805310453,0.36018950154619744,0.9946646861807499,0.5288654391984701
r1_nncat_3_vali,0.12021590024232864,2.3346774578094482,7.800364971160889,10.819825172424316,0.011964606121182442,5.218723773956299,1.6933982372283936,0.6493255311228416,0.4020267100725732,0.9903500774151626,0.5718957498016217
r1_nncat_4_vali,0.1267150193452835,2.6007378101348877,4.767848491668701,6.78679895401001,0.010631153360009193,4.7872185707092285,1.5120400190353394,0.5699770071141482,0.3330404911475332,0.9925533222623708,0.49873564977805
r1_edgef_nncat_0_vali,0.14322681725025177,1.2877755165100098,1.3615806102752686,3.684936046600342,0.01087808795273304,4.766473770141602,1.1715883016586304,0.6608534846545508,0.3910932344154333,0.9936690210692636,0.5612764643882805
r1_edgef_nncat_1_vali,0.12019594013690948,2.2190935611724854,2.0304996967315674,4.264313220977783,0.011058662086725235,4.884173393249512,2.043200969696045,0.6131167948970364,0.37453724907438074,0.9957949890028525,0.544338526759758
r1_edgef_nncat_2_vali,0.14315295219421387,2.0023529529571533,2.108442544937134,4.950351238250732,0.014380683191120625,6.923577308654785,1.8187733888626099,0.6891241811659722,0.4417779300175513,0.9898777136255291,0.610909654479755
r1_edgef_nncat_3_vali,0.1160665825009346,1.9053711891174316,1.9763996601104736,4.529500484466553,0.012312093749642372,5.551806449890137,1.6803278923034668,0.7017221469887359,0.4419562228609483,0.9942394091728329,0.611908690009427
r1_edgef_nncat_4_vali,0.11909382045269012,1.5004992485046387,1.5650393962860107,3.93123197555542,0.011161675676703453,4.9460906982421875,1.35037100315094,0.6437243840455635,0.37644235363173745,0.9947561658535471,0.5461913020503534
r1_flood_nncat_0_test,0.10573506355285645,2.1169705390930176,2.083862543106079,3.550914764404297,0.01000110525637865,4.459542274475098,1.400988221168518,0.9960167700947515,0.9961083391432738,0.9875176055463913,0.9917943698699229
r1_flood_nncat_1_test,0.11368291079998016,7.146097660064697,7.039482116699219,3.7268223762512207,0.011317138560116291,5.691640853881836,1.5421894788742065,0.9957787533911372,0.9972615231421801,0.9853889611607014,0.9912896943508778
r1_flood_nncat_2_test,0.1345786601305008,10.639824867248535,3.067371368408203,20.94980812072754,0.016782697290182114,8.295282363891602,2.4264800548553467,0.9946906575503355,0.9949078884319169,0.9832518203790568,0.9890455134162716
r1_flood_nncat_3_test,0.11359357833862305,2.2069051265716553,6.011801719665527,3.5765535831451416,0.011094210669398308,4.762426376342773,1.5954041481018066,0.9959582162469455,0.9954586659009758,0.9879262717024351,0.9916781657379666
r1_flood_nncat_4_test,0.12812116742134094,2.4856340885162354,4.763604164123535,4.7143330574035645,0.01088748313486576,4.992131233215332,1.5980340242385864,0.9954166826475204,0.9954711861581833,0.9856820343742503,0.9905524254904872
r1_edgef_nncat_0_test,0.14215201139450073,1.364963412284851,1.4238150119781494,4.212677001953125,0.010173168033361435,4.387818813323975,1.243009328842163,0.6820043996355513,0.43350307948738315,0.9926063872897832,0.603457077641295
r1_edgef_nncat_1_test,0.11605331301689148,2.141472578048706,1.9368759393692017,4.1514997482299805,0.010714849457144737,4.794100761413574,1.9586952924728394,0.6087889155094398,0.38371632989826376,0.9979905149452304,0.5543075350566687
r1_edgef_nncat_2_test,0.12932530045509338,1.7073205709457397,1.7733625173568726,4.241350173950195,0.013914776034653187,6.674239158630371,1.5426560640335083,0.6745196411083809,0.4277674470964082,0.9926166668799506,0.5978792544333533
r1_edgef_nncat_3_test,0.11026179790496826,1.8001093864440918,1.863256812095642,4.440692901611328,0.011608841829001904,5.286534309387207,1.5805290937423706,0.7143101598170597,0.4602447914941681,0.995571664442569,0.62948412384038
r1_edgef_nncat_4_test,0.12043171375989914,1.549766182899475,1.5964759588241577,4.361595153808594,0.01058252714574337,4.623903274536133,1.3940716981887817,0.6757893135392349,0.42892006679193356,0.9957155087757281,0.5995671733238499
r1_nncat_0_test,0.10573506355285645,2.1169705390930176,2.083862543106079,4.62850284576416,0.01000110525637865,4.459542274475098,1.400988221168518,0.6807057315438186,0.43249903514162436,0.9926446735184681,0.6024906273330863
r1_nncat_1_test,0.11368291079998016,7.146097660064697,7.039482116699219,9.893393516540527,0.011317138560116291,5.691640853881836,1.5421894788742065,0.6607099845816724,0.41753897724379746,0.9921287709575145,0.587730595168001
r1_nncat_2_test,0.1345786601305008,10.639824867248535,3.067371368408203,13.380536079406738,0.016782697290182114,8.295282363891602,2.4264800548553467,0.5773592299870705,0.3654707296805482,0.996755460647666,0.5348376768885977
r1_nncat_3_test,0.11359357833862305,2.2069051265716553,6.011801719665527,8.787368774414062,0.011094210669398308,4.762426376342773,1.5954041481018066,0.6770844530584798,0.429797932845283,0.9939660553946834,0.6001058594762159
r1_nncat_4_test,0.12812116742134094,2.4856338500976562,4.763603687286377,7.145337104797363,0.01088748313486576,4.992131233215332,1.5980339050292969,0.6328287304213235,0.398541431187818,0.9943148971331202,0.5690115686698348
r1_edgef_flood_nncat_0_vali,0.14322681725025177,1.2877755165100098,1.3615806102752686,2.6023192405700684,0.01087808795273304,4.766473770141602,1.1715883016586304,0.9957485674566846,0.9943453377154091,0.9861349300627408,0.9902231150894132
r1_edgef_flood_nncat_1_vali,0.12019594013690948,2.2190935611724854,2.0304996967315674,3.399320363998413,0.011058662086725235,4.884173393249512,2.043200969696045,0.9950258037517078,0.9939405853532401,0.9845676331461024,0.989231907615062
r1_edgef_flood_nncat_2_vali,0.14315295219421387,2.0023529529571533,2.108442544937134,3.9296793937683105,0.014380683191120625,6.923577308654785,1.8187733888626099,0.9944965038385486,0.9932560146656566,0.9843614063443624,0.9887887081384373
r1_edgef_flood_nncat_3_vali,0.1160665825009346,1.9053711891174316,1.9763996601104736,3.3626365661621094,0.012312093749642372,5.551806449890137,1.6803278923034668,0.9955350554399464,0.9969931957936425,0.984089569145049,0.9904993590911122
r1_edgef_flood_nncat_4_vali,0.11909382045269012,1.5004992485046387,1.5650393962860107,2.8592936992645264,0.011161675676703453,4.9460906982421875,1.35037100315094,0.9957870578976142,0.9955381252840547,0.9848673218691808,0.9901739754115179
r1_flood_nncat_0_vali,0.11303194612264633,2.006394386291504,1.9697506427764893,3.406520128250122,0.010660157538950443,4.93521785736084,1.310983419418335,0.9960646029001232,0.9942412366263751,0.9876953601158559,0.9909574886158082
r1_flood_nncat_1_vali,0.11543884873390198,7.553494930267334,8.08089542388916,3.979506731033325,0.011626971885561943,5.8274102210998535,1.619012713432312,0.9950972019442946,0.996308599255016,0.982513314197054,0.9893628700618091
r1_flood_nncat_2_vali,0.15241557359695435,13.432611465454102,3.8256266117095947,26.31256103515625,0.01679607667028904,8.107320785522461,2.584169864654541,0.9933261205447409,0.9936319655626858,0.9792063201472746,0.9863664017744876
r1_flood_nncat_3_vali,0.12021590024232864,2.3346774578094482,7.800364971160889,3.9796996116638184,0.011964606121182442,5.218723773956299,1.6933982372283936,0.9948772859741902,0.99391828617943,0.984363803327657,0.9891179721737913
r1_flood_nncat_4_vali,0.1267150193452835,2.6007378101348877,4.767848491668701,5.04989767074585,0.010631153360009193,4.7872185707092285,1.5120400190353394,0.995066056269488,0.9931445582371095,0.9838996778541845,0.9885005029973506
r1_edgef_flood_nncat_0_test,0.14215201139450073,1.364963412284851,1.4238150119781494,2.7635395526885986,0.010173168033361435,4.387818813323975,1.243009328842163,0.995702531111526,0.9967164838458211,0.9856173498782987,0.9911358447054097
r1_edgef_flood_nncat_1_test,0.11605331301689148,2.141472578048706,1.9368759393692017,3.097792863845825,0.010714849457144737,4.794100761413574,1.9586952924728394,0.9957930381435277,0.9954010707251807,0.9873032026657564,0.9913355998200535
r1_edgef_flood_nncat_2_test,0.12932530045509338,1.7073205709457397,1.7733625173568726,3.1942203044891357,0.013914776034653187,6.674239158630371,1.5426560640335083,0.995828238637187,0.995300172621837,0.9875493184317038,0.9914095966864404
r1_edgef_flood_nncat_3_test,0.11026179790496826,1.8001093864440918,1.863256812095642,2.9484548568725586,0.011608841829001904,5.286534309387207,1.5805290937423706,0.9960444872873374,0.9978595571060099,0.9858879758235228,0.9918376432293183
r1_edgef_flood_nncat_4_test,0.12043171375989914,1.549766182899475,1.5964759588241577,2.7525928020477295,0.01058252714574337,4.623903274536133,1.3940716981887817,0.996005817883044,0.9976913356692425,0.9858959477505914,0.9917585711140036
