,rr time,fl time,perf,objective
astlingen_02_28_2007_12,8.511549472808838,1.3835486757989024,2148.8785817902162,1437.6772878186514
astlingen_08_22_2007_21,2.573814868927002,1.4233058896558037,3454.708957543121,5671.566071079675
astlingen_07_24_2008_15,4.823982000350952,1.3994291084153312,680.9397189120349,338.87814292568913
astlingen_02_13_2009_15,5.765038728713989,1.4576199590295986,2966.609021496799,4043.5569470224427
astlingen_10_01_2009_14,4.109477281570435,1.4241711273789406,3382.591330061986,3665.0455891530255
