Wall time,Step,Value
1727937587.411257,106,0.48876532912254333
1727937631.224955,119,0.5043519139289856
1727937665.566524,125,0.4568036198616028
1727937743.550624,141,0.5185130834579468
1727937745.588534,143,0.5244792699813843
1727937749.099218,146,0.5301716923713684
1727937789.823225,154,0.4863676428794861
1727937793.398248,157,0.4938390851020813
1727937877.897087,172,0.6126708984375
1727937881.372367,175,0.5291376113891602
1727937967.29022,195,0.5351220369338989
1727938006.751881,203,0.5453712344169617
1727938012.337225,207,0.49351462721824646
1727938104.917866,227,0.5385578870773315
1727938153.606126,240,0.511661171913147
1727938260.16072,256,0.5888318419456482
1727938264.533378,259,0.5089415311813354
1727938299.591429,268,0.5471867918968201
1727938337.952775,279,0.546561598777771
1727938384.271233,284,0.5695540904998779
1727938388.119542,286,0.5565627217292786
1727938390.162525,287,0.6130977272987366
1727938431.441983,291,0.5579050183296204
1727938493.762659,308,0.5689607262611389
1727938590.599715,324,0.613855242729187
1727938601.740478,330,0.5696389675140381
1727938652.258145,335,0.5103273987770081
1727938708.176411,350,0.5830971002578735
1727938733.134916,356,0.6476618647575378
1727938756.124181,361,0.6446491479873657
1727938764.914435,368,0.604464054107666
1727938790.833718,372,0.603439211845398
1727938794.058851,374,0.6171525716781616
1727938863.73017,393,0.6239222288131714
1727938913.979113,409,0.6263132095336914
1727938939.416311,411,0.6161752939224243
1727938954.593332,419,0.6724615693092346
1727939020.855323,431,0.5843684673309326
1727939040.259901,440,0.6810077428817749
1727939079.39292,448,0.6021491289138794
1727939157.146523,464,0.6894321441650391
1727939165.999254,468,0.6047202348709106
1727939413.489626,522,0.7228166460990906
1727939415.921252,523,0.6978427171707153
1727939483.492713,540,0.7154375910758972
1727939514.587562,543,0.6620017290115356
1727939522.787667,546,0.6890953779220581
1727939604.882367,561,0.689731240272522
1727939612.619644,564,0.705136239528656
1727939615.107231,565,0.7049301266670227
1727939662.059092,575,0.7463163137435913
1727939747.964409,592,0.736419677734375
1727939753.336786,594,0.6783132553100586
1727939850.343941,615,0.7987849712371826
1727939858.551335,618,0.8045266270637512
1727939938.255464,632,0.7539162039756775
1727939952.400903,637,0.7707276344299316
1727940004.015573,648,0.7579283118247986
1727940055.567865,658,0.7151196002960205
1727940092.526175,664,0.7948874235153198
1727940145.929856,674,0.688116192817688
1727940165.20965,680,0.6561260223388672
1727940193.52258,682,0.7565483450889587
1727940209.040631,687,0.7984484434127808
1727940212.050687,688,0.7204391360282898
1727940302.413674,703,0.821125864982605
1727940400.863605,721,0.7273370623588562
1727940407.175869,723,0.7370328903198242
1727940466.570867,735,0.7786540389060974
1727940508.869521,742,0.7609624266624451
1727940512.217404,743,0.8420693278312683
1727940519.056463,745,0.7858422994613647
