,rr time,fl time,perf,objective
astlingen_01_25_2007_13,18.74031925201416,11.827958524501819,639.6099152933226,-660.1577617865826
astlingen_02_04_2007_10,14.725878477096558,13.112381562678772,132.25652698775104,-849.4287662933826
astlingen_02_08_2007_07,13.697921752929688,11.774339517460593,6284.568774273415,5214.394417369379
astlingen_02_10_2007_02,20.351019144058228,14.041689523264893,479.6079885536851,-807.7301265021704
astlingen_02_21_2007_13,20.743420839309692,11.104168038986717,111.44262613049926,-1226.4299751454992
astlingen_02_24_2007_17,17.427759408950806,13.625742176462552,172.99287161836736,-823.120521153735
astlingen_02_28_2007_12,17.773789882659912,11.413071695496054,911.1024319561152,-396.174619453742
astlingen_03_19_2007_14,26.81723952293396,13.875569133789508,0.0,-1816.5528242904293
astlingen_04_04_2007_12,8.302192211151123,12.855922048970273,7158.651886907162,8842.242183293334
astlingen_04_05_2007_09,14.344534158706665,13.22631424412583,189.4710451153068,-616.2566389905468
astlingen_04_10_2007_02,13.516648054122925,13.23299356454458,533.7164365973018,149.39804222608836
astlingen_04_27_2007_11,33.60415434837341,13.092146853759923,0.0,-1848.1670294744208
astlingen_04_29_2007_02,18.228971242904663,12.399637682015817,130.29247115065385,-743.9475161059984
astlingen_05_10_2007_22,19.0814847946167,12.493133926171861,115.16761217839603,-916.5793246658633
astlingen_05_22_2007_05,16.39305305480957,11.38221116776162,7712.857682495216,7094.80628176801
astlingen_06_12_2007_23,9.807642698287964,13.459475911089353,168.87713528881238,-287.16475854537015
astlingen_07_18_2007_12,6.74588680267334,11.65263420575625,8711.20887193079,10316.443020071558
astlingen_07_23_2007_19,14.853296756744385,12.191181029088398,551.2458417815158,-307.22088509840614
astlingen_07_25_2007_01,12.10036325454712,12.352487912280955,6721.4821347407305,6566.663314254348
astlingen_07_27_2007_22,13.03276014328003,13.182912016874992,0.0,-667.6935854292238
astlingen_07_31_2007_00,27.01831340789795,11.744434335292913,6064.732343895752,5061.329378863028
astlingen_08_15_2007_13,8.136021852493286,12.793771923229258,544.6650146534595,74.72819639326673
astlingen_08_22_2007_08,6.911039113998413,13.108396825911123,13.364364838840533,-347.43383898102866
astlingen_08_22_2007_21,5.074441432952881,12.845154770489398,2486.127406082812,3937.924223779849
astlingen_08_30_2007_03,13.755607843399048,13.8291683649715,39.51559073830253,-1006.5009690308389
astlingen_08_30_2007_21,13.255817174911499,12.667881716238824,2398.9222246385684,2279.5961248850003
astlingen_09_26_2007_12,3.4968128204345703,12.221736353635787,9223.733233341734,9215.371209052248
astlingen_11_12_2007_20,11.937138080596924,12.101111357702928,0.0,-899.0726013594435
astlingen_11_13_2007_14,5.41265606880188,12.211977043459493,3761.2030524966594,3841.4119562719734
astlingen_11_16_2007_03,10.739147186279297,13.906565183546485,650.6305355342223,47.71482559513652
astlingen_11_17_2007_20,17.21175479888916,12.853206652767804,718.5858202201655,-259.2566575753686
astlingen_11_19_2007_15,18.331164598464966,12.975471890143801,0.0,-1186.357623089662
astlingen_12_11_2007_21,7.8172361850738525,14.019525002897456,0.0,-492.0034140897252
astlingen_12_13_2007_10,12.81975769996643,13.251370160966307,0.0,-887.8761274792084
astlingen_12_17_2007_20,5.101901054382324,12.530762758748285,674.8914619703112,716.3620961362342
astlingen_12_24_2007_21,8.00361943244934,13.345108307324923,444.06090484903507,-178.359399676002
astlingen_12_27_2007_17,10.88924765586853,12.43320055354026,6956.469667146799,7432.492088251207
