,rr time,fl time,perf
astlingen_07_31_2007_00,29.692314386367798,29.30538948911887,5692.136809101349
astlingen_08_15_2007_13,9.454631328582764,30.28458018456736,527.1322172047953
astlingen_08_22_2007_08,7.803904056549072,30.79525474053395,101.9135207902663
astlingen_08_22_2007_21,6.426001071929932,30.844188784730846,2766.094067491177
astlingen_08_30_2007_03,16.58290195465088,30.413754790644102,191.60347722148006
astlingen_08_30_2007_21,15.4444580078125,31.664343113961973,2079.1461597575185
astlingen_09_26_2007_12,5.033625841140747,32.907205152511594,9254.506858843126
astlingen_11_12_2007_20,15.39553689956665,31.686512957600986,42.79097631268334
astlingen_11_13_2007_14,6.83036208152771,31.286174485760352,3748.487062505262
astlingen_11_16_2007_03,13.293017864227295,31.661219839158097,869.3868461028665
astlingen_11_17_2007_20,20.3939266204834,30.791338480248744,897.6191785058462
astlingen_11_19_2007_15,21.910428285598755,30.568264981776334,8.62821503612534
astlingen_12_11_2007_21,9.679505348205566,30.405000855413714,62.59984488237005
astlingen_12_13_2007_10,15.130981683731079,30.229811982528584,17.43994666127807
astlingen_12_17_2007_20,5.731459379196167,30.43626186354407,679.7415293826751
astlingen_12_24_2007_21,9.418029069900513,30.092104031489445,679.6827273201482
astlingen_12_27_2007_17,12.21984338760376,30.587494331021464,6662.46588791334
