,river,creek,wwtp,setting,controlled
01_25_2007_13,417.469397375185,13.746515303072606,15299.706468049742,145.5268158190231,980.7282316948757
02_04_2007_10,1.3786127665132049,0.0,11408.3073744642,68.23973044158231,352.07367729972077
02_08_2007_07,5087.225045935495,293.5340097372845,11889.913094697982,136.72327048579987,854.6129713147066
02_10_2007_02,431.9663551275944,0.0058501694889013306,14478.464948705518,78.17299336180217,336.95543748134236
02_21_2007_13,0.0,0.0,15484.923483375995,101.53631576851015,428.43119827275063
02_24_2007_17,0.02404241314502904,0.0,12238.673505687228,79.63181124881413,340.01554915203076
02_28_2007_12,1391.6253391449204,0.0,14328.269055911887,128.2426241824646,863.7695864916639
03_19_2007_14,0.0,0.0,18711.84105602186,83.55987894881184,256.5283009259937
04_04_2007_12,5112.820357782379,1838.3579999082283,5564.686314362622,51.85959920053092,343.8909494558417
04_05_2007_09,16.29122849645787,0.0,10913.65024006285,98.10156203154942,623.1725063844864
04_10_2007_02,0.0,0.0,9729.784938011268,72.04189629344748,345.1614400665749
04_27_2007_11,0.0,0.0,18923.206388969822,114.4558599098961,284.4324426991733
04_29_2007_02,0.3899248919970398,0.0,11141.34904126269,104.73653579894497,514.3114704473564
05_10_2007_22,297.8971897081194,0.0,11303.363073871926,103.45158563270934,527.4007416720657
05_22_2007_05,6848.905857205776,573.2868423861207,11648.617403586155,108.66026612358463,729.6238069273791
06_12_2007_23,0.0,0.0,6749.929348535828,63.06773475039836,328.8682249909697
07_18_2007_12,6475.84644358868,1993.5664227403668,4711.223423559146,53.83007495405662,426.1688199008591
07_23_2007_19,742.1672163259175,83.6896681645231,11545.35298511244,111.07165850576752,709.6889837055908
07_25_2007_01,5419.978568875272,758.312252756474,9359.585165646133,104.4907816982188,777.5627894696281
07_27_2007_22,0.0,0.0,7150.314304139425,39.40435156573986,147.90947870048484
07_31_2007_00,5829.50588704009,25.480902543304673,18956.71277981857,190.1606169461765,873.7757589371255
08_15_2007_13,640.4993777211996,0.0,4960.22062176855,43.79788205099655,257.87210765850296
08_22_2007_08,92.24293275675974,0.004609702648058001,4180.600167505292,37.65127007779206,228.83086941016285
08_22_2007_21,1037.675845503327,2018.3473344474176,3834.2342944684665,43.09280586698242,315.5550411631615
08_30_2007_03,58.47532904052413,0.0,11035.492695106022,80.4712977180138,409.72131786538046
08_30_2007_21,1598.337991869932,566.050403166429,10110.14828422841,105.40072497395701,744.715609423977
09_26_2007_12,8867.840754241879,246.92704740011774,2596.8414682014745,31.36184411897833,238.890670008028
11_12_2007_20,0.33840910355052334,0.0,9644.110319838992,62.948023912854374,303.30832836109323
11_13_2007_14,3227.7840619976505,606.9115699190376,3902.4417872253052,39.31935492618234,256.32556035776724
11_16_2007_03,671.4839570772801,0.0,6915.403169149893,39.80524649732186,220.49822535647598
11_17_2007_20,706.5753248359792,114.69113069370343,13343.909306471653,122.70472748330562,691.7583245659064
11_19_2007_15,0.0,0.0,12396.928680099589,73.85609209815712,255.58846785403443
12_11_2007_21,0.0,0.0,5270.251320727489,53.74859369859715,300.2333621627266
12_13_2007_10,0.2197108523979476,0.0,9459.066064758146,55.9126333903879,267.59852447306713
12_17_2007_20,325.9134052014499,413.1076958573582,4005.642559977683,40.804445116969575,292.691254833224
12_24_2007_21,330.9296619837261,2.805478427732253,6823.086199524331,73.70780534015728,482.31606624205267
12_27_2007_17,5626.837463857908,1144.0891459436816,8002.844188496631,85.64742110381951,575.4126071400829
