,rr time,fl time,perf
astlingen_01_25_2007_13,17.67027974128723,55.21342838627018,431.2159126782576
astlingen_02_04_2007_10,14.11565113067627,49.34304340262162,1.3786127665132049
astlingen_02_08_2007_07,20.103407382965088,51.698946556955015,5380.759055672779
astlingen_02_10_2007_02,18.93155074119568,54.47086658844581,431.9722052970833
astlingen_02_21_2007_13,19.40113639831543,59.51510701775551,0.0
astlingen_02_24_2007_17,15.973995923995972,66.54685940886989,0.02404241314502904
astlingen_02_28_2007_12,16.724725484848022,80.3368620206328,1391.6253391449204
astlingen_03_19_2007_14,25.13130831718445,77.7511736698521,0.0
astlingen_04_04_2007_12,7.688806056976318,57.67539817094803,6951.201656739776
astlingen_04_05_2007_09,13.436710357666016,60.60854157968001,16.29122849645787
astlingen_04_10_2007_02,12.818447351455688,63.15062256959769,0.0
astlingen_04_27_2007_11,31.730866193771362,76.62332203961158,0.0
astlingen_04_29_2007_02,17.25331425666809,46.929213993889945,0.3899248919970398
astlingen_05_10_2007_22,17.57908010482788,46.843209175214376,297.8971897081194
astlingen_05_22_2007_05,15.467450141906738,51.18596849744282,7422.192699591896
astlingen_06_12_2007_23,9.121961116790771,51.075276261881775,0.0
astlingen_07_18_2007_12,6.360081434249878,50.152419007741486,8469.440662632078
astlingen_07_23_2007_19,13.898414373397827,49.86101905923141,825.8568844904406
astlingen_07_25_2007_01,11.840859651565552,49.91111391148669,6178.304942732597
astlingen_07_27_2007_22,17.51559567451477,54.297194480895996,0.0
astlingen_07_31_2007_00,26.352690935134888,53.246764501700035,5854.986789583393
astlingen_08_15_2007_13,7.743849754333496,52.31383858188506,640.4993777211996
astlingen_08_22_2007_08,6.530534505844116,49.87958675843698,92.2475424594078
astlingen_08_22_2007_21,4.844555377960205,50.32428736686707,3056.0231799507446
astlingen_08_30_2007_03,17.85141634941101,53.02697405275309,58.47532904052413
astlingen_08_30_2007_21,12.480775594711304,48.80012799244301,2164.388395036361
astlingen_09_26_2007_12,3.267086982727051,44.21916408198221,9114.797044185658
astlingen_11_12_2007_20,11.231349468231201,84.74850710060285,0.3384091035505234
astlingen_11_13_2007_14,5.171857595443726,78.2857279096331,3834.713193356336
astlingen_11_16_2007_03,10.33773398399353,87.92894923396227,671.4839570772801
astlingen_11_17_2007_20,16.811447858810425,58.01184971404798,821.2664555296826
astlingen_11_19_2007_15,17.72408175468445,55.33870728356498,0.0
astlingen_12_11_2007_21,7.445758581161499,54.11498963832855,0.0
astlingen_12_13_2007_10,12.306895971298218,57.36324243545532,0.2197108523979476
astlingen_12_17_2007_20,4.834231376647949,50.07983369827271,739.0548537456801
astlingen_12_24_2007_21,7.495978593826294,56.623812244784446,333.75494241669685
astlingen_12_27_2007_17,10.313752889633179,51.32584655852545,6770.997536375461
